DUNS,SIC1,LOB,SIC1_DESC,SIC2,SIC2_DESC,SIC3,SIC3_DESC,SIC4,SIC4_DESC,SIC5,SIC5_DESC,SIC6,SIC6_DESC,ACD_IND,CHANGE_IND,POI_NAME,FRAN_CD,FRAN_DESC,STREET_ADDRESS,HOUSE_NUMBER,STREET_PREFIX,STREETNAME,STREETTYPE,STREETSUFFIX,STREETLANG,COUNTRY_NAME,CITY,STATE,POSTALCODE,ADMINAREA,FOODTYPE,CHAINID,PHONE,LATITUDE,LONGITUDE,GEO_ACCURACY,NAIC1,NAIC1_DESC,NAIC2,NAIC2_DESC,NAIC3,NAIC3_DESC,NAIC4,NAIC4_DESC,NAIC5,NAIC5_DESC,NAIC6,NAIC6_DESC,STATUS,SUBSID,HIER,DIAS,TSTYLE1,FRAN_CD1,FRAN_DESC1,TSTYLE2,FRAN_CD2,FRAN_DESC2,TSTYLE3,FRAN_CD3,FRAN_DESC3,TSTYLE4,FRAN_CD4,FRAN_DESC4,TSTYLE5,FRAN_CD5,FRAN_DESC5,GLOBAL_ULT,ULT_NAME,GLOBAL_PAR,PAR_NAME,SALES,EMPS_HERE,SQT_FOOTAGE,RPT_DATE,REC_CLASS,COTTAGE,DOM_ULT,TRDSTYL120,MARKET_IND,ADDR_2, 
342909223,59990000,"MISCELLANEOUS RETAIL STORES, NEC, NSK","MISCELLANEOUS RETAIL STORES, NEC",,,,,,,,,,,A,9,MOHAMMDREZA FARZANEH NEZAHD,,,JAHNSTR. 1-3,,,,,,,GERMANY,DARMSTADT,,64285,HESSEN,,,,+00.000000,-000.000000,N,453998,ALL OTHER MISCELLANEOUS STORE,,,,,,,,,,,0,0,00,,GOURMET ORIENTAL,,,,,,,,,,,,,,,342909223,MOHAMMDREZA FARZANEH NEZAHD,342909223,MOHAMMDREZA FARZANEH NEZAHD,000000000340518,000000002,00000000,020701,,,000000000,GOURMET ORIENTAL,,, 
312572666,76990000,"REPAIR SERVICES, NEC, NSK","REPAIR SERVICES, NEC",,,,,,,,,,,A,9,KOHRMANN  BAUMASCHINEN GMBH,,,†BER DER HECKERLINGSBREITE,,,,,,,GERMANY,HETTSTEDT,,06333,SACHSEN-ANHALT,,,347685580,+00.000000,-000.000000,N,811412,APPLIANCE REPAIR AND MAINTENAN,,,,,,,,,,,2,0,01,007418610,KOHRMANN BAUMASCHINEN GMBH,,,KOHRMANN BAUMASCHINEN GMBH NL,,,,,,,,,,,,318572047,KOHRMANN  BAUMASCHINEN GMBH,318572047,KOHRMANN  BAUMASCHINEN GMBH,000000000000000,000000000,00000000,070809,,,318572047,KOHRMANN BAUMASCHINEN GMBH,M,, 
341398898,64110000,"INSURANCE AGENTS, BROKERS, AND SERVICE, N","INSURANCE AGENTS, BROKERS, AND SERVICE",,,,,,,,,,,A,9,ROLF HECKERMANN GMBH,,,HAUS-GAHLEN-STR. 18,,,,,,,GERMANY,SCHERMBECK,,46514,NORDRHEIN-WESTFALEN,,,28532447,+51.667586,+006.874612,D,524210,INSURANCE AGENCIES AND BROKERA,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,341398898,ROLF HECKERMANN GMBH,341398898,ROLF HECKERMANN GMBH,000000000194515,000000002,00000000,090729,,,000000000,,M,, 
342510919,54990000,"MISCELLANEOUS FOOD STORES, NSK",MISCELLANEOUS FOOD STORES,59991301,COSMETICS,,,,,,,,,A,9,SABINE GRABOWSKI-SPECK,,,LUDOWICIRING 1,,,,,,,GERMANY,JOCKGRIM,,76751,RHEINLAND-PFALZ,,,727152252,+49.093900,+008.280900,Z,445299,ALL OTHER SPECIALTY FOOD STORE,446120,"COSMETICS, BEAUTY SUPPLIES, AN",,,,,,,,,0,0,00,,NATURKOST IM HOLZAPFEL,,,,,,,,,,,,,,,342510919,SABINE GRABOWSKI-SPECK,342510919,SABINE GRABOWSKI-SPECK,000000000128203,000000004,00000000,100820,,,000000000,NATURKOST IM HOLZAPFEL,M,, 
340335646,64110000,"INSURANCE AGENTS, BROKERS, AND SERVICE, N","INSURANCE AGENTS, BROKERS, AND SERVICE",,,,,,,,,,,A,9,UDO HESSE,,,GEINITZSTR. 11B,,,,,,,GERMANY,DRESDEN,,01217,SACHSEN,,,3514714178,+00.000000,-000.000000,S,524210,INSURANCE AGENCIES AND BROKERA,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,340335646,UDO HESSE,340335646,UDO HESSE,000000000090636,000000001,00000000,080418,,,000000000,,,, 
343173188,76410000,"REUPHOLSTERY AND FURNITURE REPAIR, NSK",REUPHOLSTERY AND FURNITURE REPAIR,89990201,ART RESTORATION,,,,,,,,,A,9,HERWIG SCHELL,,,GRO§E BAUERNGASSE 94,,,,,,,GERMANY,H…CHSTADT,,91315,BAYERN,,,91932413,+49.703150,+010.826515,D,811420,REUPHOLSTERY AND FURNITURE REP,711510,"INDEPENDENT ARTISTS, WRITERS,",,,,,,,,,0,0,00,,WEBMASTER 4U,,,,,,,,,,,,,,,343173188,HERWIG SCHELL,343173188,HERWIG SCHELL,000000000093261,000000001,00000000,100607,,,000000000,WEBMASTER 4U,M,, 
340283593,80210000,OFFICES AND CLINICS OF DENTISTS,OFFICES AND CLINICS OF DENTISTS,,,,,,,,,,,A,9,MARTINA BADER U. ELISABETH KILIAN,,,HIBISKUSWEG 15,,,,,,,GERMANY,HALLE (SAALE),,06122,SACHSEN-ANHALT,,,3458048560,+00.000000,-000.000000,S,621210,OFFICES OF DENTISTS,,,,,,,,,,,0,0,00,,KIEFERORTHOPŠDISCHE PRAXISGEME,,,,,,,,,,,,,,,340283593,MARTINA BADER U. ELISABETH KILIAN,340283593,MARTINA BADER U. ELISABETH KILIAN,000000000617620,000000006,00000000,080404,,,000000000,KIEFERORTHOPŠDISCHE PRAXISGEMEINSCHAFT DIPL. MED. M. BADER U. DIPL.-MED. E. KILIAN,,, 
344132910,72190000,"LAUNDRY AND GARMENT SERVICES, NEC, NSK","LAUNDRY AND GARMENT SERVICES, NEC",,,,,,,,,,,A,9,HUBERTUS SCHOLZ,,,NIEDERKAINAER STR. 14,,,,,,,GERMANY,BAUTZEN,,02625,SACHSEN,,,3591211020,+51.189769,+014.464891,S,811490,OTHER PERSONAL AND HOUSEHOLD G,,,,,,,,,,,0,0,00,,CLEANOTHEK,,,,,,,,,,,,,,,344132910,HUBERTUS SCHOLZ,344132910,HUBERTUS SCHOLZ,000000000219203,000000002,00000000,090930,,,000000000,CLEANOTHEK,M,, 
389389557,80210000,OFFICES AND CLINICS OF DENTISTS,OFFICES AND CLINICS OF DENTISTS,,,,,,,,,,,A,9,"MICHAEL ENKE, CLAUDIA ENKE",,,WALDSTR. 43,,,,,,,GERMANY,OFFENBACH AM MAIN,,63065,HESSEN,,,698002577,+50.101516,+008.765295,D,621210,OFFICES OF DENTISTS,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,389389557,"MICHAEL ENKE, CLAUDIA ENKE",389389557,"MICHAEL ENKE, CLAUDIA ENKE",000000000095652,000000002,00000000,091123,,,000000000,,M,, 
312777942,80110000,"OFFICES AND CLINICS OF MEDICAL DOCTORS, N",OFFICES AND CLINICS OF MEDICAL DOCTORS,,,,,,,,,,,A,9,DR. MED. MARKUS ROTH,,,HERZOGSTR. 26,,,,,,,GERMANY,SCHWETZINGEN,,68723,BADEN-W†RTTEMBERG,,,62024465,+00.000000,-000.000000,S,621111,OFFICES OF PHYSICIANS (EXCEPT,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,312777942,DR. MED. MARKUS ROTH,312777942,DR. MED. MARKUS ROTH,000000000253781,000000002,00000000,080226,,,000000000,,,, 
331187927,50650000,"ELECTRONIC PARTS AND EQUIPMENT, NEC, NSK","ELECTRONIC PARTS AND EQUIPMENT, NEC",,,,,,,,,,,A,9,GES GMBH,,,GRO§KLAMM 10,,,,,,,GERMANY,RHEINSTETTEN,,76287,BADEN-W†RTTEMBERG,,,721151080,+48.984461,+008.327498,D,423690,OTHER ELECTRONIC PARTS AND EQU,,,,,,,,,,,0,0,00,,GES,,,,,,,,,,,,,,,331187927,GES GMBH,331187927,GES GMBH,000000002589600,000000006,00000000,100309,,,000000000,GES,M,, 
327214763,75380000,"GENERAL AUTOMOTIVE REPAIR SHOPS, NSK",GENERAL AUTOMOTIVE REPAIR SHOPS,75390300,ELECTRICAL SERVICES,,,,,,,,,A,9,AUTOSERVICE KESCH GMBH,,,AN DER BRAAS 4-6,,,,,,,GERMANY,NETPHEN,,57250,NORDRHEIN-WESTFALEN,,,27388234,+50.911664,+008.099668,D,811111,GENERAL AUTOMOTIVE REPAIR,811118,OTHER AUTOMOTIVE MECHANICAL AN,,,,,,,,,0,0,00,,AUTOSERVICE KESCH GMBH,,,AUTOSERVICE KESCH,,,,,,,,,,,,327214763,AUTOSERVICE KESCH GMBH,327214763,AUTOSERVICE KESCH GMBH,000000000302875,000000002,00000000,100601,,,000000000,AUTOSERVICE KESCH GMBH,M,, 
330118576,32690000,"POTTERY PRODUCTS, NEC, NSK","POTTERY PRODUCTS, NEC",59470101,ARTCRAFT AND CARVINGS,,,,,,,,,A,9,VOLKER URBAN,,,SCHULSTR. 9,,,,,,,GERMANY,OBER KOSTENZ,,55481,RHEINLAND-PFALZ,,,67632752,+49.946269,+007.405584,D,327112,"VITREOUS CHINA, FINE EARTHENWA",453220,"GIFT, NOVELTY AND SOUVENIR STO",,,,,,,,,0,0,00,,KUNSTGEWERBE URBAN,,,,,,,,,,,,,,,330118576,VOLKER URBAN,330118576,VOLKER URBAN,000000000040530,000000001,00000000,100325,,,000000000,KUNSTGEWERBE URBAN,M,, 
340331890,86990000,"MEMBERSHIP ORGANIZATIONS, NEC, NSK","MEMBERSHIP ORGANIZATIONS, NEC",,,,,,,,,,,A,9,DEUTSCHES ROTES KREUZ KREISVERBAND MARBURG E.V.,,,DEUTSCHHAUSSTR. 21,,,,,,,GERMANY,MARBURG,,35037,HESSEN,,,642196260,+00.000000,-000.000000,S,813990,OTHER SIMILAR ORGANIZATIONS (E,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,340331890,DEUTSCHES ROTES KREUZ KREISVERBAND MARBURG E.V.,340331890,DEUTSCHES ROTES KREUZ KREISVERBAND MARBURG E.V.,000000000212347,000000004,00000000,080418,,,000000000,,,, 
317582328,62820000,INVESTMENT ADVICE,INVESTMENT ADVICE,,,,,,,,,,,A,9,PEKA VERMOEGENSBERATUNGSGESELLSCHAFT M.B.H,,,APOSTELWEG 2,,,,,,,GERMANY,HAMBURG,,22143,HAMBURG,,,,+53.602829,+010.154376,D,523930,INVESTMENT ADVICE,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,317582328,PEKA VERMOEGENSBERATUNGSGESELLSCHAFT M.B.H,317582328,PEKA VERMOEGENSBERATUNGSGESELLSCHAFT M.B.H,000000000224517,000000002,00000000,090509,,,000000000,,M,, 
389950192,58120000,EATING PLACES,EATING PLACES,,,,,,,,,,,A,9,ERNA STURM,,,ARBERSTR. 74,,,,,,,GERMANY,LAM,,93462,BAYERN,,,,+00.000000,-000.000000,N,722110,FULL-SERVICE RESTAURANTS,,,,,,,,,,,0,0,00,,SCHMANKERL GRILL,,,,,,,,,,,,,,,389950192,ERNA STURM,389950192,ERNA STURM,000000000346502,000000002,00000000,010920,,,000000000,SCHMANKERL GRILL,,, 
332256999,76990000,"REPAIR SERVICES, NEC, NSK","REPAIR SERVICES, NEC",,,,,,,,,,,A,9,METALLBAU ZšPHEL GMBH & CO KG,,,RAASDORFER STR. 9,,,,,,,GERMANY,OELSNITZ/VOGTL.,,08606,SACHSEN,,,3742122344,+50.417760,+012.187354,S,811412,APPLIANCE REPAIR AND MAINTENAN,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,332256999,METALLBAU ZšPHEL GMBH & CO KG,332256999,METALLBAU ZšPHEL GMBH & CO KG,000000000655135,000000004,00000000,100603,,,000000000,,M,, 
333111669,56610000,SHOE STORES,SHOE STORES,,,,,,,,,,,A,9,UWE LASCHEK,,,RICHARD-BOGUE-STR. 44,,,,,,,GERMANY,TAUCHA,,04425,SACHSEN,,,,+51.370743,+012.480196,D,448210,SHOE STORES,,,,,,,,,,,0,0,00,,SCHUH-SPAR-KAUF,,,,,,,,,,,,,,,333111669,UWE LASCHEK,333111669,UWE LASCHEK,000000000118888,000000001,00000000,081208,,,000000000,SCHUH-SPAR-KAUF,M,, 
313504144,51490000,"GROCERIES AND RELATED PRODUCTS, NEC, NSK","GROCERIES AND RELATED PRODUCTS, NEC",,,,,,,,,,,A,9,GETRŠNKEHAUS HEUSSINGER E. K.,,,LEHENGRABEN 20,,,,,,,GERMANY,BINDLACH,,95463,BAYERN,,,92081400,+49.976260,+011.615659,D,424490,OTHER GROCERY AND RELATED PROD,,,,,,,,,,,0,0,00,,GETRŠNKEHAUS HEU§INGER,,,,,,,,,,,,,,,313504144,GETRŠNKEHAUS HEUSSINGER E. K.,313504144,GETRŠNKEHAUS HEUSSINGER E. K.,000000002460120,000000005,00000000,100407,,,000000000,GETRŠNKEHAUS HEU§INGER,M,, 
328263418,59320000,USED MERCHANDISE STORES,USED MERCHANDISE STORES,,,,,,,,,,,A,9,J. H. SCHMIDT INHABER VERA H†SKES,,,BURGSTR. 6,,,,,,,GERMANY,KREFELD,,47829,NORDRHEIN-WESTFALEN,,,2151480868,+00.000000,-000.000000,S,453310,USED MERCHANDISE STORES,,,,,,,,,,,2,0,01,006841771,J. H. SCHMIDT INHABER VERA HUE,,,,,,,,,,,,,,,329868475,J. H. SCHMIDT INHABER VERA H†SKES,329868475,J. H. SCHMIDT INHABER VERA H†SKES,000000000000000,000000000,00000000,030901,,,329868475,J. H. SCHMIDT INHABER VERA HUESKES,,, 
389525700,80110000,"OFFICES AND CLINICS OF MEDICAL DOCTORS, N",OFFICES AND CLINICS OF MEDICAL DOCTORS,,,,,,,,,,,A,9,DR.MED. WOLFGANG NOWAK,,,M†NZSTR. 5,,,,,,,GERMANY,BERLIN,,10178,BERLIN,,,302829686,+00.000000,-000.000000,N,621111,OFFICES OF PHYSICIANS (EXCEPT,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,389525700,DR.MED. WOLFGANG NOWAK,389525700,DR.MED. WOLFGANG NOWAK,000000000170048,000000001,00000000,070907,,,000000000,,,, 
342137101,72990000,"MISCELLANEOUS PERSONAL SERVICES, NEC, NSK",MISCELLANEOUS PERSONAL SERVICE,,,,,,,,,,,A,9,MONIKA MORITZ,,,WERDERSTR. 1,,,,,,,GERMANY,NIEMEGK,,14823,BRANDENBURG,,,3384351589,+52.076835,+012.688280,D,812990,ALL OTHER PERSONAL SERVICES,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,342137101,MONIKA MORITZ,342137101,MONIKA MORITZ,000000000088416,000000001,00000000,091022,,,000000000,,M,, 
312654979,17510000,"CARPENTRY WORK, NSK",CARPENTRY WORK,,,,,,,,,,,A,9,UWE WETTEBORN,,,MITTLERE DORFSTR. 8,,,,,,,GERMANY,LANDWEHR,,31087,NIEDERSACHSEN,,,5184359,+00.000000,-000.000000,N,238130,FRAMING CONTRACTORS,,,,,,,,,,,0,0,00,,SCHREINEREI WETTEBORN,,,,,,,,,,,,,,,312654979,UWE WETTEBORN,312654979,UWE WETTEBORN,000000000387680,000000004,00000000,101101,,,000000000,SCHREINEREI WETTEBORN,M,, 
333062623,20510000,"BREAD, CAKE, AND RELATED PRODUCTS","BREAD, CAKE, AND RELATED PRODUCTS",,,,,,,,,,,A,9,KARASU -FEINE BACKWAREN GMBH,,,ALTENHAGENER STR. 76,,,,,,,GERMANY,HAGEN,,58097,NORDRHEIN-WESTFALEN,,,23314731964,+51.369739,+007.463637,D,311812,COMMERCIAL BAKERIES,,,,,,,,,,,0,0,00,,KARASU-FEINE BACKWAREN GMBH,,,,,,,,,,,,,,,333062623,KARASU -FEINE BACKWAREN GMBH,333062623,KARASU -FEINE BACKWAREN GMBH,000000000221564,000000002,00000000,100212,,,000000000,KARASU-FEINE BACKWAREN GMBH,M,, 
389049300,80490000,"OFFICES OF HEALTH PRACTITIONERS, NSK",OFFICES OF HEALTH PRACTITIONER,,,,,,,,,,,A,9,ANNEMARIE KAPPENBERG,,,NEUSTADT 68,,,,,,,GERMANY,NORTHEIM,,37154,NIEDERSACHSEN,,,55517605,+51.707360,+009.999365,D,621399,OFFICES OF ALL OTHER MISCELLAN,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,389049300,ANNEMARIE KAPPENBERG,389049300,ANNEMARIE KAPPENBERG,000000000032370,000000001,00000000,091110,,,000000000,,M,, 
312531285,47890000,"TRANSPORTATION SERVICES, NEC, NSK","TRANSPORTATION SERVICES, NEC",,,,,,,,,,,A,9,ULF RICHARTZ,,,STRELITZER STR. 137,,,,,,,GERMANY,WAREN (M†RITZ),,17192,MECKLENBURG-VORPOMMERN,,,3991633308,+53.517128,+012.706039,D,488999,ALL OTHER SUPPORT ACTIVITIES F,,,,,,,,,,,0,0,00,,WARENER SPEDITION,,,,,,,,,,,,,,,312531285,ULF RICHARTZ,312531285,ULF RICHARTZ,000000000100555,000000060,00000000,100518,,,000000000,WARENER SPEDITION,M,, 
340043885,81110000,"LEGAL SERVICES, NSK",LEGAL SERVICES,,,,,,,,,,,A,9,"ELKE ENGLERT, WERNER LINN",,,EMILIENSTR. 14,,,,,,,GERMANY,LAMPERTHEIM,,68623,HESSEN,,,6206910764,+00.000000,-000.000000,S,541110,OFFICES OF LAWYERS,,,,,,,,,,,0,0,00,,ENGLERT & LINN,,,,,,,,,,,,,,,340043885,"ELKE ENGLERT, WERNER LINN",340043885,"ELKE ENGLERT, WERNER LINN",000000000497203,000000003,00000000,080320,,,000000000,ENGLERT & LINN,,, 
312603628,89990000,"SERVICES, NEC, NSK","SERVICES, NEC",,,,,,,,,,,A,9,IRVIN BARNHILL,,,ERNST-BARLACH-STR. 12,,,,,,,GERMANY,SINDELFINGEN,,71065,BADEN-W†RTTEMBERG,,,7117291400,+00.000000,-000.000000,S,541990,"ALL OTHER PROFESSIONAL, SCIENT",,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,312603628,IRVIN BARNHILL,312603628,IRVIN BARNHILL,000000000026895,000000001,00000000,071002,,,000000000,,,, 
320302664,59940000,"NEWS DEALERS AND NEWSSTANDS, NSK",NEWS DEALERS AND NEWSSTANDS,,,,,,,,,,,A,9,HANS PTACH,,,HERTHASTR. 57,,,,,,,GERMANY,K…LN,,50969,NORDRHEIN-WESTFALEN,,,,+50.912917,+006.941308,D,451212,NEWS DEALERS AND NEWSSTANDS,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,320302664,HANS PTACH,320302664,HANS PTACH,000000000119565,000000002,00000000,100104,,,000000000,,M,, 
340367187,58120000,EATING PLACES,EATING PLACES,,,,,,,,,,,A,9,BARIS BAYRAM,,,RATHAUSPLATZ 14,,,,,,,GERMANY,BLANKENHEIM,,53945,NORDRHEIN-WESTFALEN,,,24491364,+00.000000,-000.000000,S,722110,FULL-SERVICE RESTAURANTS,,,,,,,,,,,0,0,00,,PIZZERIA ALIBABA,,,,,,,,,,,,,,,340367187,BARIS BAYRAM,340367187,BARIS BAYRAM,000000000155376,000000002,00000000,080421,,,000000000,PIZZERIA ALIBABA,,, 
317062545,72990000,"MISCELLANEOUS PERSONAL SERVICES, NEC, NSK",MISCELLANEOUS PERSONAL SERVICE,,,,,,,,,,,A,9,HELMUT GUENTER,,,IM ROSENGARTEN 10,,,,,,,GERMANY,BAD HOMBURG,,61348,HESSEN,,,,+00.000000,-000.000000,N,812990,ALL OTHER PERSONAL SERVICES,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,317062545,HELMUT GUENTER,317062545,HELMUT GUENTER,000000000063768,000000001,00000000,020707,,,000000000,,,, 
313943789,65310000,REAL ESTATE AGENTS AND MANAGERS,REAL ESTATE AGENTS AND MANAGERS,,,,,,,,,,,A,9,DEGEVITRO GRUNDST†CKSVERWALTUNGSGES. MBH & CO. IMMOBILIEN-VERMIETUNGS KG,,,HAUPTSTR. 131-137,,,,,,,GERMANY,ESCHBORN,,65760,HESSEN,,,,+50.146487,+008.558266,D,531210,OFFICES OF REAL ESTATE AGENTS,,,,,,,,,,,0,3,06,004060670,,,,,,,,,,,,,,,,313943789,DEGEVITRO GRUNDST†CKSVERWALTUNGSGES. MBH & CO. IMMOBILIEN-VERMIETUNGS KG,313943789,DEGEVITRO GRUNDST†CKSVERWALTUNGSGES. MBH & CO. IMMOBILIEN-VERMIETUNGS KG,000000000000000,000000000,00000000,101108,,,315750646,,M,, 
